�FREUNDE|FILMLISTE|2020�;;;;;;;;;
Film-Reviewer Erich und Eckert;;;;;;;;;
;;;;;;;;;
"Film
(Deutscher Titel)";"Film
(Originaltitel)";Ersch. Jahr;Filmreihe;FSK;"L�nge
(min)";Gesehen am; Bewertung ;;
The Beach;The Beach;2000;The Beach;16;119;06.10.2016; 5,75 ;;
Emelie;Emelie;2015;Emelie;16;83;02.08.2017; 5,75 ;;
Death Note;Death Note;2017;Death Note;18;101;02.06.2018; 5,75 ;;
Cloverfield;Cloverfield;2008;Cloverfield;12;81;21.10.2018; 5,75 ;;
Kill Bill - Volume 1;Kill Bill: Vol. 1;2003;Kill Bill;18;106;04.11.2018; 5,75 ;;
Wrong Turn;Wrong Turn;2003;Wrong Turn;16;84;?; 5,75 ;;
Ring 2;The Ring Two;2005;The Ring;16;110;?; 5,75 ;;
Du hast es versprochen;Du hast es versprochen;2012;Du hast es versprochen;16;101;?; 5,75 ;;
Truth or Dare;Truth or Dare;2013;Truth or Dare;N.E.;80;?; 5,75 ;;
A Cure for Wellness;A Cure for Wellness;2016;A Cure for Wellness;16;147;?; 5,75 ;;
Against the Night - Nur einer �berlebt! (MM);Against the Night;2017;Against the Night;16;85;?; 5,75 ;;
The Others;The Others;2001;The Others;12;101;13.02.2017; 5,50 ;;
Holidays;Holidays;2016;Holidays;16;106;19.02.2017; 5,50 ;;
American Pie pr�sentiert: Die n�chste Gener�;American Pie Presents: Band Camp;2005;American Pie;12;87;05.07.2018; 5,50 ;;
Resident Evil;Resident Evil;2002;Resident Evil;16;100;07.04.2019; 5,50 ;;
It Comes at Night;It Comes at Night;2017;It Comes at Night;16;91;08.12.2019; 5,50 ;;
The Perfection;The Perfection;2018;The Perfection;16;90;21.04.2020; 5,50 ;;
Scary Stories to Tell in the Dark;Scary Stories to Tell in the Dark;2019;Scary Stories to Tell in the�;16;107;02.08.2020; 5,50 ;;
Dead Silence;Dead Silence;2007;Dead Silence;16;92;?; 5,50 ;;
The Last House on the Left;The Last House on the Left;2009;The Last House on the Left;18;110;?; 5,50 ;;
Lights Out;Lights Out;2016;Lights Out;16;81;?; 5,50 ;;
Sausage Party - Es geht um die Wurst;Sausage Party;2016;Sausage Party;16;89;?; 5,50 ;;
The First Purge;The First Purge;2018;The Purge;18;112;?; 5,50 ;;
Splice - Das Genexperiment;Splice;2009;Splice;16;103;28.12.2016; 5,25 ;;
Wounds;Wounds;2019;Wounds;16;95;12.12.2019; 5,25 ;;
House of Wax;House of Wax;2005;House of Wax;18;113;04.02.2020; 5,25 ;;
Der Nebel;The Mist;2007;The Mist;16;126;?; 5,25 ;;
Frozen - Eiskalter Abgrund;Frozen;2010;Frozen;16;90;?; 5,25 ;;
ExitUs - Play It Backwards;Exeter;2015;Exeter;18;91;?; 5,25 ;;
Event Horizon - Am Rande des Universums;Event Horizon;1997;Event Horizon;16;92;26.10.2018; 5,00 ;;
Puls;Cell;2016;Cell;16;98;13.09.2019; 5,00 ;;
Prom Night;Prom Night;2008;Prom Night;16;88;17.02.2020; 5,00 ;;
Der Patriot;The Patriot;2000;The Patriot;16;158;?; 5,00 ;;
The Pyramid - Grab des Grauens;The Pyramid;2014;The Pyramid;16;89;?; 5,00 ;;
Matriarch - Sie will dein Baby (MM);Matriarch;2018;Matriarch;16;92;?; 5,00 ;;
Chroniken der Finsternis - Der schwar... (MM);???????. ??? (Gogol. Viy);2018;??????? (Gogol);16;106;?; 5,00 ;;
She's Just A Shadow (MM);She's Just A Shadow;2019;She's Just A Shadow;18;117;?; 5,00 ;;
Jennifer's Body - Jungs nach ihrem Geschmack;Jennifer's Body;2009;Jennifer's Body;18;98;13.03.2017; 4,75 ;;
Mirrors;Mirrors;2008;Mirrors;18;111;26.03.2017; 4,75 ;;
Stepfather;The Stepfather;2009;The Stepfather;16;101;27.11.2017; 4,75 ;;
Die Kunst des toten Mannes;Velvet Buzzsaw;2019;Velvet Buzzsaw;16;113;25.02.2018; 4,75 ;;
American Pie pr�sentiert: Nackte Tatsachen;American Pie Presents: The Naked Mile;2006;American Pie;16;98;06.07.2018; 4,75 ;;
Within;Within;2016;Within;16;88;19.06.2019; 4,75 ;;
House at the End of the Street;House at the End of the Street;2012;House at the End of the St�;16;101;04.04.2020; 4,75 ;;
American Mary;American Mary;2012;American Mary;18;81;05.08.2020; 4,75 ;;
Das Schweigen der L�mmer;The Silence of the Lambs;1991;Hannibal Lecter;16;138;?; 4,75 ;;
Die Hexe (MM);The Inhabitants;2015;The Inhabitants;16;90;?; 4,75 ;;
Naked;Naked;2017;Naked;12;96;22.08.2017; 4,50 ;;
Don't Knock Twice;Don't Knock Twice;2016;Don't Knock Twice;16;89;25.08.2018; 4,50 ;;
Malevolent - Und das B�se existiert doch;Malevolent;2018;Malevolent;16;88;06.10.2018; 4,50 ;;
Nicht ansehen! (Mini-Serie);Don't Watch This;2018;Don't Watch This;16;28;08.11.2018; 4,50 ;;
The Unthinkable - Die unbekannte Ma... (MM);Den Blomstertid Nu Kommer;2018;Den Blomstertid Nu Kom�;16;129;11.01.2019; 4,50 ;;
Red Letter Day - T�te deine Nachbarn;Red Letter Day;2019;Red Letter Day;16;76;13.03.2020; 4,50 ;;
Doom - Der Film;Doom;2005;Doom;18;108;15.04.2020; 4,50 ;;
The Cabin in the Woods;The Cabin in the Woods;2011;The Cabin in the Woods;16;95;?; 4,50 ;;
V/H/S: Viral;V/H/S: Viral;2014;V/H/S;16;98;?; 4,50 ;;
Charlie's Farm;Charlie's Farm;2015;Charlie's Farm;18;93;?; 4,50 ;;
Bed Of The Dead (MM);Bed Of The Dead;2016;Bed Of The Dead;16;88;24.02.2018; 4,25 ;;
Die Pr�senz;Die Pr�senz;2014;Die Pr�senz;16;97;09.04.2018; 4,25 ;;
Slender Man;Slender Man;2018;Slender Man;16;94;21.07.2020; 4,25 ;;
The Skeptic - Das teuflische Haus;The Skeptic;2009;The Skeptic;16;89;?; 4,25 ;;
Spectral;Spectral;2016;Spectral;16;107;14.12.2016; 4,00 ;;
Curse Of The Nun (MM);Curse Of The Nun;2018;Curse Of The Nun;16;80;28.12.2018; 4,00 ;;
Silent Hill: Revelation 3D;Silent Hill: Revelation 3D;2012;Silent Hill;16;94;26.03.2019; 4,00 ;;
Girlhouse - T�te, was du nicht kriegen kannst;Girl House;2014;Girl House;18;100;04.08.2019; 4,00 ;;
Hidden Figures - Unerkannte Heldinnen;Hidden Figures;2016;Hidden Figures;0;127;?; 4,00 ;;
The Lodgers;The Lodgers;2017;The Lodgers;16;93;18.11.2019; 3,75 ;;
The Thing;The Thing;2011;The Thing;16;99;27.01.2020; 3,75 ;;
Cube;Cube;1997;Cube;16;87;04.08.2020; 3,75 ;;
No Mercy (MM);?? (Eonni);2019;?? (Eonni);18;93;?; 3,75 ;;
Der Kreis;Circle;2015;Circle;12;87;29.11.2016; 3,50 ;;
Jumper;Jumper;2008;Jumper;12;90;12.12.2016; 3,50 ;;
Anatomie;Anatomie;2000;Anatomie;16;103;05.04.2020; 3,50 ;;
Blood Feast - Blutiges Festmahl (MM);Blood Feast;2016;Blood Feast;18;98;?; 3,50 ;;
The Priest - Vergib uns unsere Schuld (MM);Purgatory Road;2017;Purgatory Road;18;98;?; 3,50 ;;
Beast (MM);Beast;2017;Beast;16;106;?; 3,50 ;;
Ausl�schung;Annihilation;2018;Annihilation;16;115;10.12.2018; 3,25 ;;
Blair Witch 2;Book of Shadows: Blair Witch 2;2000;Blair Witch;18;99;?; 3,25 ;;
Another Soul - Sie kommen, dich zu h... (MM);Another Soul;2018;Another Soul;16;78;17.08.2018; 3,00 ;;
